25march-25june,,,,,,,,,Conversion Rate,
Lead Source,Count of lead,Lead %,Medium,Converted,Conversion rate,Contribution,,,Lead Source,Count of lead
Organic Blogs,7449,55%,Organic,59,0.79%,24.08%,,,Organic Blogs,59
Meta,3485,26%,Paid,56,1.61%,22.86%,,,Meta,56
Organic Home Page,364,3%,Organic,9,2.47%,3.67%,,,Calls,28
Organic Test,330,2%,Organic,1,0.30%,0.41%,,,Offline,27
Calls,329,2%,Organic,28,8.51%,11.43%,,,Organic Batch List,17
Organic Youtube,272,2%,Organic,6,2.21%,2.45%,,,Organic Free Videos,10
Google Search,268,2%,Paid,5,1.87%,2.04%,,,Organic Home Page,9
Affiliates & Partner Website,259,2%,Organic,2,0.77%,0.82%,,,Whatsapp,8
Organic Batch List,213,2%,Organic,17,7.98%,6.94%,,,Organic Youtube,6
Others,140,1%,Organic,3,2.14%,1.22%,,,Direct Traffic,5
Whatsapp,122,1%,Organic,8,6.56%,3.27%,,,Google Search,5
LLM,112,1%,Organic,3,2.68%,1.22%,,,Center Walk-Ins,4
Publications,92,1%,Organic,1,1.09%,0.41%,,,Others,3
Organic Free Videos,68,0%,Organic,10,14.71%,4.08%,,,LLM,3
Offline,68,0%,Organic,27,39.71%,11.02%,,,Affiliates & Partner Website,2
Direct Traffic,30,0%,Organic,5,16.67%,2.04%,,,Publications,1
Center Walk-Ins,27,0%,Organic,4,14.81%,1.63%,,,Paid Youtube,1
Paid Youtube,6,0%,Paid,1,16.67%,0.41%,,,Organic Test,1
Paid Medium Remaining,2,0%,Paid,0,0.00%,0.00%,,,Grand Total,245
Grand Total,13636,100%,NA,245,1.80%,100.00%,,,,
